L = 12, j = 1.0, jz = 0.6, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.3453624047073711, length: 8
 b_2 = 2.209284777143801, length: 8
b_167 = 11.666580517547319, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:22:29.985
b_168 = 11.739619146896205, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:22:51.457
b_169 = 11.84001381750961, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:23:13.198
b_170 = 11.887281059475576, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:23:34.718
b_171 = 11.897159418745659, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:23:56.19
b_172 = 11.90185725443547, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:24:17.766
b_173 = 11.962293232136222, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:24:39.46
b_174 = 12.057720672546427, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:25:01.02
b_175 = 12.04152191890515, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:25:22.609
b_176 = 11.900519034424065, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:25:44.155
b_177 = 11.715895643724197, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:26:05.944
b_178 = 11.667440735045894, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:26:27.544
b_179 = 11.796393217826473, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:26:49.077
b_180 = 12.143614965012889, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:27:10.598
b_181 = 12.510154667115136, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:27:32.288
b_182 = 12.748225321834205, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:27:53.733
b_183 = 12.820699501935579, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:28:15.276
b_184 = 12.754811167089132, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:28:36.808
b_185 = 12.572411282089655, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:28:58.43
b_186 = 12.293918666362138, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:29:19.946
b_187 = 12.00284021509503, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:29:41.347
b_188 = 11.815170350921624, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:30:02.856
b_189 = 11.716619002313776, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:30:24.553
b_190 = 11.636668802673771, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:30:46.056
b_191 = 11.531465845926158, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:31:07.614
b_192 = 11.502557627534506, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:31:29.134
b_193 = 11.575959554824694, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:31:50.762
b_194 = 11.723949122722583, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:32:12.253
b_195 = 11.822561632159976, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:32:33.79
b_196 = 11.888141260301817, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:32:55.276
b_197 = 11.891536858115453, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:33:17.019
b_198 = 11.887398840254498, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:33:38.568
